step,hostname,pid,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,thelio,120348,1d012308-e02b-423a-b933-7d4b7c335802,30,1621600749.7758346,1621600757.2285705,0.002645824715496896
0,thelio,120358,4fd30106-9cab-42bb-a198-90635fde35f8,31,1621600749.7817447,1621600757.6056247,0.0036440845308867336
0,thelio,120355,3047a4f8-4081-4f7c-a7c3-167f9eb09cae,32,1621600749.7976797,1621600759.659583,0.004218242066061107
0,thelio,120375,4c87f4cf-6b03-47ee-8fd5-3206dc908770,33,1621600749.798278,1621600759.4938102,0.002731267868969853
0,thelio,120528,4015304d-2eda-411d-9b2f-21a95a24daee,34,1621600749.792656,1621600757.9966183,0.0025639367530774313
0,thelio,120344,2b557897-a358-4927-9768-e4d2de4fe8d1,35,1621600749.7886622,1621600760.0103903,0.002846719110886864
0,thelio,120357,bdbb1210-ef61-4b1e-b0a6-829951f314c7,36,1621600749.7928972,1621600759.1185534,0.0023277525880274394
0,thelio,120363,d592bb14-0a13-44ce-a262-82d24e3becd4,37,1621600749.7962627,1621600758.2577217,0.002115257852369326
0,thelio,120381,051112cb-f530-4d44-add0-75430c476dd1,38,1621600749.7995298,1621600758.58676,0.003088572030290637
0,thelio,120371,4ba200fa-19d6-4861-9791-69759233646c,39,1621600749.7888765,1621600760.2553947,0.003066936308778686
0,thelio,120410,762c9a34-1005-484c-a662-be18cbbd80b5,40,1621600749.8073475,1621600758.1125033,0.002018465352883872
0,thelio,120461,e0b39f9d-5c11-4fb6-ae8f-2667a2ebc5fd,41,1621600749.7907965,1621600757.8488712,0.003084129215581562
0,thelio,120367,ccf3f5db-8ace-4be1-bd0a-0643bc6cc759,42,1621600749.804517,1621600759.306077,0.002261626971519795
0,thelio,120378,437f1911-9c80-40b5-9d51-852ac0b8f0aa,43,1621600749.8007627,1621600757.427766,0.0023536510678171915
0,thelio,120351,b4b0ac5a-61e2-4c68-988a-ae3a53157827,44,1621600749.7944171,1621600756.7435808,0.003033816703845906
0,thelio,120385,243db7b7-af8e-40a9-9345-6d576b63cdc0,45,1621600749.7988327,1621600756.7737024,0.0027065102297110675
0,thelio,120348,4be7cf3e-71c7-48e0-b171-70396349e12d,46,1621600749.7938085,1621600757.3918884,0.0037726625631794007
0,thelio,120358,28314896-9760-4727-9b14-1bc136e5a1c0,47,1621600749.7937727,1621600756.8856874,0.002612690850056651
0,thelio,120355,64d3b021-89f2-49c9-a152-59b32e679430,48,1621600749.8161068,1621600759.429344,0.0032735411010528597
0,thelio,120375,02486005-e646-4088-a3c5-8369be42841b,49,1621600749.811194,1621600758.4097474,0.002720237659620924
0,thelio,120528,baf736ae-a380-4ae2-ad61-908746db1bae,50,1621600749.8082404,1621600758.730349,0.004656154412803452
0,thelio,120344,3a1d3614-fae9-4069-8307-a88131e5b951,51,1621600749.7955835,1621600759.8206098,0.002553590709614178
0,thelio,120357,cb63ea3b-f4bf-4a10-9fa0-d8db56e6810a,52,1621600749.8047261,1621600762.1449769,0.010663545641680044
0,thelio,120363,34edef2d-b343-4f95-8322-795af2eb7804,53,1621600749.8102448,1621600758.3974206,0.0022924425261784285
0,thelio,120381,3e76a68c-c1e5-4c68-8e2a-ffc1c8644a2b,54,1621600749.8091946,1621600758.1209912,0.002197973268079034
0,thelio,120371,13ede152-ea88-4e89-bb43-ecb4dbe8483b,55,1621600749.8020375,1621600760.036461,0.0027904834049941054
0,thelio,120410,c719fa22-823c-4773-a243-eeb4eefddb7d,56,1621600749.8189118,1621600759.2822702,0.006707885652017942
0,thelio,120461,afbbc8f8-ac1e-4d3d-94f5-e2652d5667fd,57,1621600749.8058872,1621600757.3422902,0.0028495934782898865
0,thelio,120367,8e8aad51-4633-432d-8982-b1a528820359,58,1621600749.818118,1621600759.6908915,0.003638477247328925
0,thelio,120378,499bc3b3-a45f-4aa6-ab00-245114d94c48,59,1621600749.8112967,1621600757.6577125,0.0023024958493559036
0,thelio,120355,a8caf0ab-1184-4944-ad3e-f3d7654e0a80,60,1621600767.063873,1621600774.9954627,0.0032132228301744144
0,thelio,120375,393063e1-927b-4815-a5d9-028826fdcae0,61,1621600767.063711,1621600775.2924416,0.0028798691417640707
0,thelio,120528,77b8bdae-8bf2-41cf-b421-30d692473125,62,1621600767.0651948,1621600775.0969675,0.0032132228301744144
0,thelio,120344,3fff712c-2f37-4a2b-bdd4-fed215adce49,63,1621600767.0651138,1621600775.1256297,0.002938338725829992
