step,hostname,pid,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,thelio,109188,6c613614-9c88-45e6-af2c-940c7eed8806,17,1630168995.3595748,1630169004.215184,0.004602272019171738
0,thelio,109225,c82cd1a3-3fe1-4bae-a209-ec12b5c9293d,18,1630168995.356571,1630169005.8465526,0.012947681777358925
0,thelio,109186,b715cf2c-11ca-4198-a392-5d2652176592,19,1630168995.3629348,1630169009.9946492,0.011890251282179827
0,thelio,109359,baf84b21-2dd2-44bc-b3a1-0d1b85915478,20,1630168995.3537552,1630169003.4130878,0.0023706464584827376
0,thelio,109196,25a1d205-39e9-4450-8608-b67b27c55da2,21,1630168995.3608744,1630169003.3167171,0.0025461265131720276
0,thelio,109386,7d4aa687-2bb5-42a4-b3d3-f5334d8313ba,22,1630168995.3607824,1630169004.7444527,0.003582506434325118
0,thelio,109493,7bd2a0a2-f1f5-420c-b72a-caa822641e21,23,1630168995.356191,1630169005.742042,0.0042766250467516495
0,thelio,109182,224e2a33-886d-4ddf-b4e1-7d8d67e010b9,24,1630168995.36329,1630169003.8945608,0.004027128485403523
0,thelio,109220,ad1f819c-3b4b-48ed-a31f-18bbacd31728,25,1630168995.3538942,1630169004.597307,0.0032530709187311283
0,thelio,109203,0f7dddb8-eb18-487f-87e0-1f882bdcafc9,26,1630168995.3542156,1630169003.781502,0.0032054321073095313
0,thelio,109199,08123780-9055-4390-baaf-b72a63897fdf,27,1630168995.3631926,1630169004.7598991,0.003667006844362998
0,thelio,109208,681d1f16-4e7a-4851-895e-7f2feb0857d2,28,1630168995.3552558,1630169002.3318691,0.0030440840010319014
0,thelio,109211,385f6615-92d8-43b8-9f2f-300e5b6e580d,29,1630168995.35981,1630169002.9388332,0.005530034115386589
0,thelio,109191,8c2d9258-bbf1-42a6-a16a-b928b773a290,30,1630168995.3533573,1630169002.6519067,0.004025377916019694
0,thelio,109216,c304540c-8f81-4c86-93f6-49fe58f6080a,31,1630168995.3424044,1630169003.1862464,0.00422204624139674
0,thelio,109214,fc4b50c1-02d0-49d8-be32-41b3d2dcef72,32,1630168995.3755198,1630169004.605272,0.0028508048428123743
0,thelio,109188,1485e6e9-f58d-45a3-92cc-6f304b8a769f,33,1630168995.3651297,1630169002.9078748,0.0028840388713745136
0,thelio,109225,0af3a8fe-c745-4f9e-a808-38bff78a6383,34,1630168995.371425,1630169004.2938044,0.0024078616287345742
0,thelio,109186,153f2e48-c4f8-45bd-9e0b-84641b08d2c3,35,1630168995.3757064,1630169011.0666447,0.02225597420013334
0,thelio,109359,ac94df8d-2a6b-49a3-adad-aa8d2dc9d847,36,1630168995.3676226,1630169002.680832,0.003117977442377374
0,thelio,109196,81a8e07a-8aea-4f6f-8698-82363823a145,37,1630168995.3778,1630169002.6904702,0.0022698362105944524
0,thelio,109386,fb34d13a-8a68-4d60-a958-5fd0bec3b97c,38,1630168995.375763,1630169004.6508367,0.0029680896656523333
0,thelio,109493,bc0c6b97-f577-4f05-8fe4-353a72035c06,39,1630168995.3698099,1630169004.5832248,0.0036621183705314976
0,thelio,109182,7ee2686c-afd9-486f-b666-ceced0f9c43a,40,1630168995.3783984,1630169003.4006834,0.003351054461371942
0,thelio,109220,71bac301-48d2-4caf-98c4-40b3533dfcab,41,1630168995.364413,1630169010.414404,0.006143191303111776
0,thelio,109203,a19a1c6c-2d25-448a-8dc1-d8f1b45f3150,42,1630168995.3677733,1630169004.0002964,0.004308192452021684
0,thelio,109199,c396de00-1b04-441d-815c-7fb2ad339a6b,43,1630168995.3768854,1630169019.1659882,0.10323157567384669
0,thelio,109208,982bf573-0959-4c6d-884c-934308ce4dc1,44,1630168995.365709,1630169001.6741018,0.0022884050200419584
0,thelio,109211,a2dfa808-c140-48eb-a5db-ce61e4859336,45,1630168995.3717191,1630169002.1872797,0.004098649834874776
0,thelio,109191,5151c438-cb60-4eeb-a64c-a7888013a686,46,1630168995.3688545,1630169002.2537935,0.0033091142325243753
